Entrez_Gene_ID	STRING_Locus_ID
1	9606.ENSP00000263100
2	9606.ENSP00000323929
9	9606.ENSP00000443194
10	9606.ENSP00000286479
13	9606.ENSP00000232892
14	9606.ENSP00000248450
15	9606.ENSP00000250615
16	9606.ENSP00000261772
18	9606.ENSP00000268251
19	9606.ENSP00000363868
20	9606.ENSP00000344155
21	9606.ENSP00000301732
22	9606.ENSP00000253577
24	9606.ENSP00000359245
25	9606.ENSP00000361423
26	9606.ENSP00000354193
29	9606.ENSP00000303909
30	9606.ENSP00000333664
31	9606.ENSP00000344789
32	9606.ENSP00000341044
33	9606.ENSP00000233710
34	9606.ENSP00000409612
35	9606.ENSP00000242592
36	9606.ENSP00000357873
37	9606.ENSP00000349297
38	9606.ENSP00000265838
39	9606.ENSP00000356015
40	9606.ENSP00000225823
41	9606.ENSP00000228468
47	9606.ENSP00000253792
48	9606.ENSP00000309477
49	9606.ENSP00000216139
50	9606.ENSP00000216254
52	9606.ENSP00000272065
53	9606.ENSP00000256997
54	9606.ENSP00000218758
55	9606.ENSP00000323036
56	9606.ENSP00000432816
58	9606.ENSP00000355645
59	9606.ENSP00000224784
60	9606.ENSP00000349960
70	9606.ENSP00000290378
71	9606.ENSP00000331514
72	9606.ENSP00000295137
81	9606.ENSP00000252699
86	9606.ENSP00000397552
87	9606.ENSP00000377941
88	9606.ENSP00000355537
90	9606.ENSP00000263640
91	9606.ENSP00000442656
92	9606.ENSP00000241416
93	9606.ENSP00000340361
94	9606.ENSP00000373574
95	9606.ENSP00000384296
97	9606.ENSP00000238618
98	9606.ENSP00000378161
100	9606.ENSP00000361965
101	9606.ENSP00000453302
102	9606.ENSP00000260408
104	9606.ENSP00000353920
105	9606.ENSP00000370713
107	9606.ENSP00000297323
108	9606.ENSP00000342952
109	9606.ENSP00000260600
111	9606.ENSP00000419361
112	9606.ENSP00000311405
113	9606.ENSP00000254235
114	9606.ENSP00000286355
115	9606.ENSP00000294016
116	9606.ENSP00000411658
117	9606.ENSP00000379514
118	9606.ENSP00000264758
119	9606.ENSP00000264436
120	9606.ENSP00000348381
123	9606.ENSP00000276914
124	9606.ENSP00000209668
125	9606.ENSP00000306606
127	9606.ENSP00000265512
128	9606.ENSP00000296412
130	9606.ENSP00000378359
131	9606.ENSP00000420269
132	9606.ENSP00000286621
133	9606.ENSP00000278175
134	9606.ENSP00000308549
135	9606.ENSP00000336630
136	9606.ENSP00000304501
140	9606.ENSP00000358730
141	9606.ENSP00000349496
142	9606.ENSP00000355759
143	9606.ENSP00000371419
146	9606.ENSP00000368766
147	9606.ENSP00000306662
148	9606.ENSP00000369960
150	9606.ENSP00000280155
151	9606.ENSP00000387281
152	9606.ENSP00000386069
153	9606.ENSP00000358301
155	9606.ENSP00000343782
156	9606.ENSP00000312262
157	9606.ENSP00000317578
158	9606.ENSP00000216194
159	9606.ENSP00000355493
160	9606.ENSP00000351926
161	9606.ENSP00000413234
162	9606.ENSP00000350199
163	9606.ENSP00000314414
164	9606.ENSP00000377148
165	9606.ENSP00000223357
166	9606.ENSP00000221561
167	9606.ENSP00000338276
173	9606.ENSP00000226355
174	9606.ENSP00000379138
175	9606.ENSP00000264595
176	9606.ENSP00000387356
177	9606.ENSP00000364217
181	9606.ENSP00000290953
182	9606.ENSP00000254958
183	9606.ENSP00000355627
185	9606.ENSP00000273430
186	9606.ENSP00000360973
187	9606.ENSP00000257254
189	9606.ENSP00000302620
190	9606.ENSP00000368253
191	9606.ENSP00000217426
196	9606.ENSP00000242057
197	9606.ENSP00000393887
199	9606.ENSP00000365227
202	9606.ENSP00000358062
203	9606.ENSP00000362249
205	9606.ENSP00000322175
207	9606.ENSP00000270202
208	9606.ENSP00000375892
210	9606.ENSP00000386284
211	9606.ENSP00000309259
212	9606.ENSP00000332369
214	9606.ENSP00000305988
215	9606.ENSP00000218104
216	9606.ENSP00000297785
217	9606.ENSP00000261733
218	9606.ENSP00000225740
219	9606.ENSP00000366927
220	9606.ENSP00000332256
222	9606.ENSP00000255084
223	9606.ENSP00000346827
224	9606.ENSP00000345774
225	9606.ENSP00000310688
226	9606.ENSP00000336927
229	9606.ENSP00000363988
230	9606.ENSP00000226253
231	9606.ENSP00000285930
238	9606.ENSP00000373700
239	9606.ENSP00000251535
240	9606.ENSP00000363512
241	9606.ENSP00000369858
242	9606.ENSP00000315167
244	9606.ENSP00000363395
246	9606.ENSP00000293761
247	9606.ENSP00000369530
248	9606.ENSP00000295463
250	9606.ENSP00000375881
251	9606.ENSP00000295453
257	9606.ENSP00000358807
258	9606.ENSP00000313809
259	9606.ENSP00000265132
262	9606.ENSP00000357880
265	9606.ENSP00000370088
266	9606.ENSP00000215479
267	9606.ENSP00000290649
268	9606.ENSP00000221496
269	9606.ENSP00000257863
270	9606.ENSP00000430075
271	9606.ENSP00000256578
272	9606.ENSP00000379802
273	9606.ENSP00000348602
274	9606.ENSP00000316779
275	9606.ENSP00000273588
276	9606.ENSP00000330484
277	9606.ENSP00000359096
278	9606.ENSP00000359100
279	9606.ENSP00000397582
280	9606.ENSP00000354610
283	9606.ENSP00000336762
284	9606.ENSP00000428340
285	9606.ENSP00000314897
286	9606.ENSP00000265709
287	9606.ENSP00000349588
288	9606.ENSP00000280772
290	9606.ENSP00000300060
291	9606.ENSP00000281456
292	9606.ENSP00000360671
293	9606.ENSP00000370808
301	9606.ENSP00000257497
302	9606.ENSP00000346032
306	9606.ENSP00000264908
307	9606.ENSP00000377833
308	9606.ENSP00000296511
309	9606.ENSP00000346550
310	9606.ENSP00000362010
311	9606.ENSP00000265447
312	9606.ENSP00000262219
313	9606.ENSP00000258749
314	9606.ENSP00000253799
316	9606.ENSP00000363832
318	9606.ENSP00000338397
319	9606.ENSP00000381250
321	9606.ENSP00000453144
322	9606.ENSP00000299402
323	9606.ENSP00000427211
324	9606.ENSP00000257430
325	9606.ENSP00000255040
326	9606.ENSP00000291582
327	9606.ENSP00000296456
328	9606.ENSP00000216714
329	9606.ENSP00000227758
330	9606.ENSP00000263464
331	9606.ENSP00000347858
332	9606.ENSP00000301633
333	9606.ENSP00000221891
334	9606.ENSP00000263574
335	9606.ENSP00000236850
336	9606.ENSP00000356969
338	9606.ENSP00000233242
339	9606.ENSP00000229304
341	9606.ENSP00000252491
343	9606.ENSP00000219660
344	9606.ENSP00000406381
345	9606.ENSP00000227667
346	9606.ENSP00000468236
347	9606.ENSP00000345179
348	9606.ENSP00000252486
350	9606.ENSP00000205948
351	9606.ENSP00000284981
353	9606.ENSP00000367615
354	9606.ENSP00000314151
356	9606.ENSP00000356694
357	9606.ENSP00000370299
358	9606.ENSP00000311165
359	9606.ENSP00000199280
360	9606.ENSP00000297991
361	9606.ENSP00000372654
362	9606.ENSP00000293599
363	9606.ENSP00000320247
364	9606.ENSP00000297988
366	9606.ENSP00000219919
367	9606.ENSP00000363822
368	9606.ENSP00000205557
369	9606.ENSP00000366244
372	9606.ENSP00000264028
373	9606.ENSP00000231524
374	9606.ENSP00000264487
375	9606.ENSP00000272102
377	9606.ENSP00000256682
378	9606.ENSP00000306010
379	9606.ENSP00000322628
381	9606.ENSP00000000233
382	9606.ENSP00000298316
383	9606.ENSP00000357066
384	9606.ENSP00000261783
387	9606.ENSP00000400175
388	9606.ENSP00000272233
389	9606.ENSP00000285735
390	9606.ENSP00000263895
391	9606.ENSP00000339467
392	9606.ENSP00000310491
393	9606.ENSP00000359045
395	9606.ENSP00000338967
396	9606.ENSP00000269321
397	9606.ENSP00000228945
398	9606.ENSP00000219409
399	9606.ENSP00000371219
400	9606.ENSP00000261636
401	9606.ENSP00000298231
402	9606.ENSP00000246747
403	9606.ENSP00000260746
405	9606.ENSP00000351407
407	9606.ENSP00000311538
408	9606.ENSP00000409581
409	9606.ENSP00000269260
410	9606.ENSP00000216124
411	9606.ENSP00000264914
412	9606.ENSP00000217961
414	9606.ENSP00000370546
415	9606.ENSP00000370526
416	9606.ENSP00000352319
417	9606.ENSP00000250693
419	9606.ENSP00000348064
420	9606.ENSP00000228936
421	9606.ENSP00000263207
427	9606.ENSP00000371152
429	9606.ENSP00000266744
430	9606.ENSP00000332293
432	9606.ENSP00000269299
433	9606.ENSP00000347140
434	9606.ENSP00000364092
435	9606.ENSP00000307188
438	9606.ENSP00000370639
439	9606.ENSP00000349887
443	9606.ENSP00000263080
444	9606.ENSP00000368767
445	9606.ENSP00000253004
460	9606.ENSP00000354536
463	9606.ENSP00000268489
466	9606.ENSP00000262053
467	9606.ENSP00000344352
468	9606.ENSP00000336790
471	9606.ENSP00000236959
472	9606.ENSP00000278616
473	9606.ENSP00000338629
474	9606.ENSP00000302216
475	9606.ENSP00000316854
476	9606.ENSP00000295598
477	9606.ENSP00000354490
478	9606.ENSP00000302397
479	9606.ENSP00000218548
480	9606.ENSP00000357060
481	9606.ENSP00000356789
482	9606.ENSP00000250111
483	9606.ENSP00000286371
486	9606.ENSP00000292079
487	9606.ENSP00000349595
488	9606.ENSP00000440045
489	9606.ENSP00000353072
490	9606.ENSP00000261173
491	9606.ENSP00000324172
493	9606.ENSP00000350310
495	9606.ENSP00000262623
496	9606.ENSP00000334216
498	9606.ENSP00000282050
501	9606.ENSP00000387123
506	9606.ENSP00000262030
509	9606.ENSP00000349142
513	9606.ENSP00000215375
514	9606.ENSP00000243997
515	9606.ENSP00000358737
516	9606.ENSP00000348205
517	9606.ENSP00000377878
518	9606.ENSP00000284727
521	9606.ENSP00000306003
522	9606.ENSP00000389649
523	9606.ENSP00000273398
525	9606.ENSP00000234396
526	9606.ENSP00000276390
527	9606.ENSP00000329757
528	9606.ENSP00000379203
529	9606.ENSP00000253413
533	9606.ENSP00000431605
535	9606.ENSP00000264649
537	9606.ENSP00000358777
538	9606.ENSP00000345728
539	9606.ENSP00000290299
540	9606.ENSP00000242839
545	9606.ENSP00000343741
547	9606.ENSP00000322791
549	9606.ENSP00000364883
550	9606.ENSP00000366748
551	9606.ENSP00000369647
552	9606.ENSP00000299178
554	9606.ENSP00000338072
558	9606.ENSP00000301178
563	9606.ENSP00000292401
566	9606.ENSP00000233997
567	9606.ENSP00000452780
570	9606.ENSP00000259407
571	9606.ENSP00000286800
572	9606.ENSP00000309103
575	9606.ENSP00000313046
576	9606.ENSP00000362762
577	9606.ENSP00000359630
578	9606.ENSP00000353878
579	9606.ENSP00000371875
580	9606.ENSP00000260947
582	9606.ENSP00000317469
583	9606.ENSP00000245157
585	9606.ENSP00000268057
586	9606.ENSP00000443459
587	9606.ENSP00000322991
590	9606.ENSP00000264381
593	9606.ENSP00000269980
594	9606.ENSP00000318351
595	9606.ENSP00000227507
596	9606.ENSP00000329623
597	9606.ENSP00000267953
598	9606.ENSP00000302564
