"uid" "id" "ensembleid" "symbol"
1 "2" "9606.ENSP00000323929" "A2M"
2 "15" "9606.ENSP00000250615" "AANAT"
3 "19" "9606.ENSP00000363868" "ABCA1"
4 "21" "9606.ENSP00000301732" "ABCA3"
5 "25" "9606.ENSP00000361423" "ABL1"
6 "29" "9606.ENSP00000303909" "ABR"
7 "31" "9606.ENSP00000344789" "ACACA"
8 "32" "9606.ENSP00000341044" "ACACB"
9 "34" "9606.ENSP00000409612" "ACADM"
10 "37" "9606.ENSP00000349297" "ACADVL"
11 "40" "9606.ENSP00000225823" "ASIC2"
12 "41" "9606.ENSP00000228468" "ASIC1"
13 "47" "9606.ENSP00000253792" "ACLY"
14 "48" "9606.ENSP00000309477" "ACO1"
15 "52" "9606.ENSP00000272065" "ACP1"
16 "54" "9606.ENSP00000218758" "ACP5"
17 "58" "9606.ENSP00000355645" "ACTA1"
18 "59" "9606.ENSP00000224784" "ACTA2"
19 "60" "9606.ENSP00000349960" "ACTB"
20 "70" "9606.ENSP00000290378" "ACTC1"
21 "71" "9606.ENSP00000331514" "ACTG1"
22 "72" "9606.ENSP00000295137" "ACTG2"
23 "81" "9606.ENSP00000252699" "ACTN4"
24 "86" "9606.ENSP00000397552" "ACTL6A"
25 "87" "9606.ENSP00000377941" "ACTN1"
26 "88" "9606.ENSP00000355537" "ACTN2"
27 "90" "9606.ENSP00000263640" "ACVR1"
28 "91" "9606.ENSP00000442656" "ACVR1B"
29 "92" "9606.ENSP00000241416" "ACVR2A"
30 "93" "9606.ENSP00000340361" "ACVR2B"
31 "94" "9606.ENSP00000373574" "ACVRL1"
32 "100" "9606.ENSP00000361965" "ADA"
33 "101" "9606.ENSP00000453302" "ADAM8"
34 "102" "9606.ENSP00000260408" "ADAM10"
35 "107" "9606.ENSP00000297323" "ADCY1"
36 "108" "9606.ENSP00000342952" "ADCY2"
37 "109" "9606.ENSP00000260600" "ADCY3"
38 "111" "9606.ENSP00000419361" "ADCY5"
39 "112" "9606.ENSP00000311405" "ADCY6"
40 "113" "9606.ENSP00000254235" "ADCY7"
41 "114" "9606.ENSP00000286355" "ADCY8"
