entrez	p_val	log2_fc
23456	0	0.886393286
89845	0	-0.599389937
9429	0	1.845249163
253152	0	1.898538848
109	0	0.727063947
51517	0	0.411175651
205	0	0.815340152
231	0	0.53936034
207	0	0.733314422
7915	0	1.537916255
56172	0	0.620936368
8905	0	0.544545724
134549	0	0.882874644
23779	0	-0.589363656
23779	0	-0.461338679
9331	0	0.936626256
576	0	1.76688134
10018	0	0.927584752
54880	0	0.830381088
54880	0	1.136992588
140707	0	1.39454597
140688	0	1.124357915
55612	0	-0.59656211
221545	0	0.492091089
221545	0	0.83797149
84553	0	2.376007207
55603	0	0.619885301
55450	0	1.054646381
10645	0	0.528157203
896	0	0.886644568
898	0	2.601078901
9134	0	2.203510652
9134	0	3.600854897
9308	0	2.718044829
23097	0	1.130985546
23097	0	0.678355908
1028	0	2.174416007
1029	0	0.374547649
1031	0	2.936625879
1050	0	2.129965127
8534	0	1.249356744
9435	0	1.181001384
56548	0	1.707360899
11113	0	0.729989483
25792	0	0.712557044
9738	0	1.267211567
1407	0	1.35594599
10675	0	1.891778455
79850	0	0.953865663
10208	0	-0.53198814
27065	0	0.665941182
1633	0	1.504214601
64858	0	1.635460019
23576	0	1.394584382
26100	0	0.627018435
26151	0	-0.685417154
23336	0	2.845683535
23234	0	0.745592744
29980	0	0.744470273
53820	0	1.519947936
1857	0	0.599606304
144455	0	2.024553726
1917	0	1.363799613
1973	0	-0.641675762
2026	0	4.400511972
953	0	0.58426118
2035	0	1.055861306
54566	0	0.57984823
1969	0	-0.906953715
2146	0	0.807380478
2175	0	1.593316
2175	0	1.096842728
23014	0	0.754450567
2237	0	1.072387793
2237	0	1.994152102
2254	0	2.146696274
2261	0	2.080445166
55084	0	1.743830745
55150	0	1.450622174
84131	0	0.688760454
65055	0	0.964857708
65055	0	1.992811204
80139	0	1.769955766
84915	0	2.001929756
54808	0	0.593842316
54463	0	0.708887331
54867	0	0.637377467
80004	0	0.710742306
92370	0	0.812324886
132332	0	3.503620964
149175	0	1.573690566
158158	0	1.783166619
158158	0	1.03748695
159371	0	2.226304134
253650	0	1.219630729
253650	0	0.934435731
166979	0	2.38648182
94234	0	0.527993125
10023	0	0.529126287
170384	0	0.955916838
8321	0	1.09443202
8321	0	1.011251591
2643	0	1.962251755
80318	0	2.205021469
80318	0	1.251548837
2743	0	1.354291351
2774	0	0.491409832
2778	0	1.495482324
2850	0	2.038381044
84634	0	2.291376056
57531	0	0.907680591
51696	0	0.725172254
3070	0	0.613874842
23462	0	1.559527544
23462	0	3.437683171
51523	0	0.55197367
29901	0	1.675714781
55540	0	2.319329771
55540	0	1.573256236
55540	0	1.880015442
3553	0	-0.618224921
3625	0	1.360843503
3643	0	1.009148636
3643	0	1.019595888
56704	0	1.202432141
79047	0	0.563509607
79047	0	0.673009996
200845	0	1.541342856
10656	0	1.198266573
23199	0	0.667729572
23199	0	0.937186177
9837	0	1.110564365
26033	0	1.618770522
23030	0	-0.436191705
23333	0	0.749275096
23158	0	1.100183106
57221	0	1.444997227
55636	0	0.550238744
25959	0	0.537834771
55225	0	1.027518573
84451	0	1.086813652
116236	0	2.694617253
116238	0	1.018958139
125476	0	-0.701182176
129607	0	2.22353376
137392	0	1.395754908
151194	0	1.291586467
221061	0	0.419177498
90355	0	0.43686329
90378	0	1.199735783
26018	0	0.556006539
4038	0	1.057814149
27346	0	1.288251648
27346	0	1.463922159
27346	0	1.065519235
4091	0	3.590618785
9258	0	0.605701976
79174	0	1.003782832
79188	0	-0.591605512
254887	0	2.542217431
115752	0	0.815374585
84286	0	-0.484939567
130574	0	2.192138919
79101	0	-0.966116819
79101	0	-0.721903411
79022	0	1.589230886
4324	0	3.948994171
22808	0	0.829726185
4602	0	2.924276648
4678	0	0.963158916
4747	0	2.258939461
81831	0	0.851673495
81831	0	1.236425266
51199	0	0.730609526
7025	0	2.366101719
9631	0	0.969830892
154141	0	1.018453292
23596	0	1.326354411
11076	0	2.045297925
5111	0	1.418542414
26577	0	1.052078484
5151	0	0.690216825
23089	0	2.481412358
23089	0	1.99154053
5187	0	-0.774648556
5209	0	0.927094692
55274	0	0.920675935
55274	0	1.04871189
5253	0	0.98860762
57157	0	1.017177214
5300	0	1.432618998
29941	0	1.398169749
23228	0	2.858100187
23129	0	1.286643438
5426	0	1.224095239
5427	0	1.1296523
8613	0	1.241057317
29028	0	1.229687585
29028	0	1.357922413
29028	0	1.171257436
29028	0	1.060639563
11168	0	0.86864647
5742	0	-0.6075265
11137	0	-0.436394728
5827	0	1.726614143
25837	0	1.116820518
25837	0	1.463946739
51514	0	1.274263451
9401	0	1.458677548
25907	0	2.425374438
58517	0	-0.668567643
6117	0	0.736874124
6139	0	-0.318680279
6194	0	-0.931714418
58528	0	2.645255502
65078	0	1.22179729
864	0	0.495802593
864	0	0.622219133
6334	0	2.45339668
6337	0	-0.739615371
9147	0	-0.574688947
10194	0	1.281029337
10194	0	1.555299833
51460	0	0.820583371
6431	0	-0.892001533
6432	0	-0.672800131
6450	0	1.19022166
85358	0	1.68024423
23309	0	-0.447719341
147912	0	1.119840868
9120	0	0.974126183
8604	0	0.580735952
8604	0	1.063868057
11000	0	1.687520754
9368	0	0.950188433
6666	0	0.541615939
123606	0	0.811249883
6720	0	-0.64111767
117178	0	0.296489124
201254	0	2.199233542
6812	0	0.931364608
6874	0	0.975153978
7004	0	0.864211902
7027	0	0.502734887
7074	0	1.209207541
114915	0	1.072587419
10098	0	0.892001591
10098	0	1.303258215
53346	0	2.48908971
7107	0	1.147823762
79056	0	1.359943909
29767	0	1.821019515
