entrez	p_val	log2_fc
8714	0	-0.691264024
8714	0	-0.777593564
27	0	-0.308096052
55902	0	-0.364806547
101	0	-0.536103468
9590	0	-0.962339458
9590	0	-1.505594631
219	0	0.343323674
10195	0	0.940568206
64682	0	0.39775259
128240	0	0.690383123
23779	0	0.246935813
406	0	-1.177979649
406	0	-1.151503046
56938	0	-0.700959362
471	0	0.652185419
493	0	-0.704469739
493	0	-0.791410326
617	0	0.219923714
51154	0	0.891675038
54976	0	0.809278606
901	0	-0.82104193
55143	0	-0.873709018
1017	0	-1.796029611
1019	0	0.69027673
8837	0	-0.391936421
51651	0	0.863093989
57530	0	-0.680671096
84916	0	0.734271299
84916	0	0.703968891
64857	0	-2.031255989
1277	0	-0.750343504
1289	0	-0.571415915
1296	0	-0.31846078
10903	0	-0.67366515
23564	0	-0.527593334
23564	0	-1.243167987
1662	0	0.87485361
8886	0	0.516189672
1606	0	-0.376470212
1723	0	0.56248032
115817	0	-0.520875006
1736	0	1.022460143
91404	0	-0.476090835
27340	0	0.935340556
53905	0	-0.212963788
1844	0	2.803636018
56940	0	-0.446218792
2012	0	-0.720172161
54869	0	-0.472100929
54869	0	-0.445507413
2065	0	-0.553197502
2067	0	-0.425111826
2193	0	0.627281845
55785	0	-0.843450643
2256	0	-0.151892491
89848	0	-0.258233611
54540	0	-0.340364009
54663	0	0.587785496
54475	0	0.832516586
55199	0	0.30330732
55341	0	0.504027431
55341	0	0.682049158
79584	0	1.078255948
63934	0	0.777362901
55621	0	1.129400406
55621	0	0.73176281
54920	0	1.347922994
144577	0	1.553804795
124093	0	1.118866673
259173	0	-0.477626812
10056	0	1.137978879
25929	0	1.457450882
2801	0	-0.532067411
266977	0	-0.976665151
9982	0	-0.58369637
3099	0	1.015593908
27102	0	0.676136494
11078	0	-0.753810842
90161	0	1.125728458
3303	0	1.653174235
3310	0	3.58920859
51491	0	0.650150594
3329	0	0.676285464
92856	0	0.498655276
79711	0	0.719534815
10379	0	-0.568513962
7965	0	0.640678302
23171	0	1.046235397
23170	0	0.459394895
23201	0	-0.484053458
23351	0	-0.329065421
23351	0	-0.350128902
23357	0	0.532101474
57673	0	0.42522188
57674	0	-0.396718578
57707	0	-0.422153078
3918	0	-0.693023882
124402	0	0.618730122
148523	0	0.602978448
201164	0	1.08104574
203522	0	-0.467605234
55326	0	1.1626451
4053	0	-0.397372093
27346	0	1.45245838
27346	0	1.163775008
27346	0	1.059473651
9064	0	-0.810288015
255231	0	0.469676588
55384	0	-0.631982662
55384	0	-0.816075265
4234	0	0.883853036
83719	0	-1.393618418
84798	0	1.01594852
84315	0	0.71586702
84331	0	0.656070707
84291	0	1.24548471
79081	0	0.577576262
79080	0	0.731198016
27042	0	0.603315609
78991	0	0.548143617
79026	0	-0.641385437
79026	0	-0.819745182
8569	0	-0.460766729
4486	0	-0.510280335
10514	0	1.134193334
4609	0	2.216900875
22861	0	-0.954769535
22861	0	-0.779843427
4691	0	1.111294447
54820	0	-0.500915929
4791	0	-0.495989863
4804	0	-0.791812394
64780	0	-0.916796165
4817	0	-0.448900425
4839	0	0.300996401
10528	0	1.024819642
65083	0	0.896639985
9221	0	0.930398241
9221	0	0.528469301
4869	0	0.45295277
8829	0	-0.97703996
26354	0	0.818888182
4909	0	-1.033557719
55117	0	1.426105311
55117	0	0.97580038
26747	0	0.727405566
23762	0	-1.094646019
5036	0	0.60588115
10606	0	0.884229826
5091	0	-1.130592857
26577	0	0.952901586
56652	0	1.05120224
23481	0	0.959633668
5213	0	0.623175776
5245	0	0.65988986
5252	0	-0.79784937
5328	0	-1.047210212
5339	0	-0.635826535
5373	0	0.816807751
87178	0	0.482718202
80308	0	0.738678787
54704	0	-0.694097166
9266	0	-0.22612517
10244	0	0.389432448
9052	0	-1.489208177
9052	0	-1.352974749
10171	0	0.918249592
64285	0	-0.419391383
10799	0	1.026644275
9304	0	0.682451045
9136	0	1.537852162
56915	0	1.032607285
861	0	-0.846646022
6303	0	-0.913667316
10813	0	1.138209616
10813	0	0.573423973
1992	0	-1.075912279
119559	0	0.670026325
119559	0	0.53364308
84561	0	0.942669886
6573	0	1.023833024
6573	0	1.641097892
3177	0	0.691648504
6535	0	1.268170265
84189	0	-0.674903765
6525	0	-0.638712245
6525	0	-0.788299964
57154	0	-0.730363562
6652	0	0.965187324
6653	0	-0.54978484
6709	0	-0.524342304
6709	0	-0.530493237
6710	0	-0.947164019
6723	0	0.955809737
54961	0	-0.348803616
50861	0	-0.466994901
152579	0	0.786412354
6832	0	0.482196729
6875	0	1.053171129
6949	0	0.557914878
29914	0	1.372288528
64216	0	0.900949094
7051	0	-1.063831337
26277	0	-0.290100649
7127	0	-0.787570113
7846	0	-1.002853586
6843	0	-0.730653206
81671	0	-0.641412442
81671	0	-1.097196283
55759	0	0.782520118
26094	0	0.805328781
26118	0	-0.731225484
57510	0	0.594166328
79413	0	-1.021432393
7776	0	-7.832549578
--	0	2.005573532
--	0	1.3189924
--	0	1.21598667
--	0	1.024492735
286042	0	1.152672132
--	0	0.729063705
286042	0	2.13234981
--	0	2.609784506
--	0	0.625624923
--	0	0.82997049
--	0	0.553462742
--	0	0.494340849
--	0	0.628893018
339230	0	0.400000098
--	0	0.721492533
--	0	0.256786047
--	0	-0.174627909
--	0	-0.360588148
377582	0	-0.480049549
--	0	-0.342928954
--	0	-0.343615297
--	0	-0.689827428
--	0	-0.831437546
--	0	-0.72275553
--	0	-0.514070378
--	0	-0.797779144
--	0	-0.840727334
--	0	-0.870769745
--	0	-0.906721089
--	0	-0.904858729
--	0	-1.203385635
--	0	-0.732353944
