"uid" "id" "ensembleid" "symbol"
1 "2" "9606.ENSP00000323929" "A2M"
2 "15" "9606.ENSP00000250615" "AANAT"
3 "19" "9606.ENSP00000363868" "ABCA1"
4 "20" "9606.ENSP00000344155" "ABCA2"
5 "21" "9606.ENSP00000301732" "ABCA3"
6 "25" "9606.ENSP00000361423" "ABL1"
7 "29" "9606.ENSP00000303909" "ABR"
8 "31" "9606.ENSP00000344789" "ACACA"
9 "32" "9606.ENSP00000341044" "ACACB"
10 "34" "9606.ENSP00000409612" "ACADM"
11 "37" "9606.ENSP00000349297" "ACADVL"
12 "40" "9606.ENSP00000225823" "ASIC2"
13 "47" "9606.ENSP00000253792" "ACLY"
14 "48" "9606.ENSP00000309477" "ACO1"
15 "49" "9606.ENSP00000216139" "ACR"
16 "50" "9606.ENSP00000216254" "ACO2"
17 "52" "9606.ENSP00000272065" "ACP1"
18 "54" "9606.ENSP00000218758" "ACP5"
19 "56" "9606.ENSP00000432816" "ACRV1"
20 "58" "9606.ENSP00000355645" "ACTA1"
21 "59" "9606.ENSP00000224784" "ACTA2"
22 "60" "9606.ENSP00000349960" "ACTB"
23 "70" "9606.ENSP00000290378" "ACTC1"
24 "71" "9606.ENSP00000331514" "ACTG1"
25 "72" "9606.ENSP00000295137" "ACTG2"
26 "81" "9606.ENSP00000252699" "ACTN4"
27 "86" "9606.ENSP00000397552" "ACTL6A"
28 "87" "9606.ENSP00000377941" "ACTN1"
29 "88" "9606.ENSP00000355537" "ACTN2"
30 "90" "9606.ENSP00000263640" "ACVR1"
31 "91" "9606.ENSP00000442656" "ACVR1B"
32 "92" "9606.ENSP00000241416" "ACVR2A"
33 "93" "9606.ENSP00000340361" "ACVR2B"
34 "94" "9606.ENSP00000373574" "ACVRL1"
35 "100" "9606.ENSP00000361965" "ADA"
36 "101" "9606.ENSP00000453302" "ADAM8"
37 "102" "9606.ENSP00000260408" "ADAM10"
38 "105" "9606.ENSP00000370713" "ADARB2"
39 "107" "9606.ENSP00000297323" "ADCY1"
40 "108" "9606.ENSP00000342952" "ADCY2"
41 "109" "9606.ENSP00000260600" "ADCY3"
