entrez	p_val	log2_fc
19	0	-1.594421454
101	0	2.500414563
101	0	1.943930701
11096	0	-2.279325778
154	0	1.802167155
9590	0	2.333374212
51129	0	3.441518006
51129	0	2.72450665
384	0	1.766537495
23229	0	-1.631291986
56938	0	0.804333643
490	0	1.879684988
490	0	1.796132146
84002	0	2.49152964
84002	0	2.42704132
2683	0	1.678761979
11332	0	1.124731768
604	0	-1.786472295
7851	0	1.511734187
650	0	3.872027915
650	0	4.469494
79686	0	2.330547788
113146	0	-1.827410079
55612	0	2.98733542
55612	0	3.557810749
55612	0	2.819719883
135398	0	1.731828399
10221	0	1.981896116
805	0	1.406980675
813	0	1.623951586
813	0	1.217648262
829	0	1.787683201
834	0	-1.285287619
835	0	-0.923098912
6364	0	5.950124263
8900	0	1.983438381
57018	0	-2.074796561
64866	0	2.057035687
50515	0	2.004775703
23529	0	2.380564338
85301	0	-2.25765914
1316	0	1.652042203
1316	0	1.935440135
1453	0	0.986343942
1454	0	1.76988385
1454	0	1.326872672
84951	0	1.560648931
2919	0	2.49046539
2920	0	3.126064776
2921	0	4.899304713
6374	0	2.79756836
1545	0	-1.605297096
1545	0	-2.313799809
1594	0	1.677934392
120227	0	-1.544316909
1604	0	2.861798386
1604	0	2.281575709
1604	0	2.121092011
10521	0	-2.215686993
10521	0	-2.381205051
11007	0	3.315283344
54441	0	-1.100839841
28514	0	-1.846957387
1743	0	1.324632631
9829	0	-1.699798943
1839	0	4.379547495
1839	0	4.089216771
1843	0	4.412322906
1843	0	5.507584086
1846	0	2.29337431
1846	0	1.654650921
1847	0	2.913238893
1848	0	2.929800843
1848	0	3.111646998
1848	0	2.420115045
9170	0	1.19211019
1947	0	1.809981532
1958	0	2.370501893
1958	0	1.65288569
10938	0	1.362839037
2004	0	2.089815739
1969	0	2.873086747
2069	0	3.770749775
9592	0	2.093221096
26268	0	-1.152166608
2263	0	-1.761154456
55700	0	1.324421801
55149	0	1.627801986
65979	0	-0.908472115
79977	0	-1.189176889
79993	0	2.881099567
201799	0	1.844906231
285672	0	1.578742155
285672	0	2.072188483
163259	0	1.380354875
121227	0	-2.545251355
160418	0	-3.48306505
2317	0	1.535262186
2317	0	1.620615968
23767	0	1.126270494
2335	0	-2.297700626
2353	0	7.308012225
94234	0	1.690198943
50486	0	3.005086981
2619	0	-4.918769465
2707	0	2.636378921
2707	0	2.539207459
2709	0	2.376186179
2710	0	1.569562058
113263	0	-1.343073516
51228	0	1.880970314
51228	0	1.844796588
54676	0	1.216392779
9982	0	1.683726094
3008	0	-4.24178894
3099	0	1.606137074
9324	0	-1.734803173
3187	0	-1.608843796
3223	0	-2.112842858
10855	0	3.388017285
10855	0	2.940161675
3265	0	5.645791853
8870	0	3.743871451
3589	0	2.62473657
3598	0	4.704612499
3552	0	2.016313386
3553	0	1.778580348
3553	0	2.116711414
3576	0	1.583775636
3628	0	1.016235285
50640	0	0.998528422
153572	0	-1.651418566
3673	0	2.47080885
3710	0	1.126246702
3710	0	1.290800659
3726	0	2.272451454
3775	0	2.812550182
3775	0	2.28836122
3783	0	1.491231257
9938	0	2.748890113
9938	0	1.712828178
23227	0	1.58597684
23135	0	2.234996338
9847	0	-1.620086315
23145	0	-1.395507319
23255	0	-1.652597397
57507	0	-1.416769773
80853	0	1.35963024
85450	0	1.74404223
688	0	1.736080951
26092	0	2.168654229
3949	0	2.941108002
3949	0	2.94843975
3949	0	2.509281847
3964	0	-1.052805157
10184	0	0.751813319
3976	0	2.372875505
119548	0	1.522984763
120224	0	2.217117468
129642	0	1.812338442
150381	0	-1.446832197
152485	0	-1.586925901
152519	0	2.672458156
163782	0	-1.865547722
9227	0	1.991923591
7804	0	0.842004508
4067	0	-1.53321733
4084	0	2.302274885
4084	0	1.861180427
64332	0	1.496201552
81631	0	1.815969247
10150	0	-2.285720188
4170	0	1.700922607
4190	0	-1.049164333
55384	0	3.396689714
4237	0	1.987834541
84803	0	1.581697356
90816	0	-0.814559668
84985	0	2.666233492
115572	0	-2.379815254
78996	0	-1.020782396
4281	0	-1.154836763
58508	0	-1.249647329
4323	0	2.698636999
4323	0	3.165648452
4323	0	2.88057465
117195	0	1.319594236
51312	0	3.338765258
57509	0	-1.593654904
4615	0	1.400516617
89795	0	4.402193483
10397	0	2.073665332
4781	0	-1.596802096
9221	0	0.760593976
4907	0	2.279316172
4907	0	2.430928855
55117	0	1.466455892
4953	0	3.649676384
9943	0	1.861316627
54873	0	-1.671554127
10135	0	1.579408026
29126	0	2.601651595
6385	0	1.772330781
10509	0	1.34911386
54910	0	1.815750427
54910	0	2.10958121
1992	0	2.61841299
1992	0	1.921340351
1992	0	2.340510428
5055	0	3.528786332
6317	0	-2.092124861
5268	0	1.518026455
83667	0	0.845199375
83667	0	1.607291486
143686	0	-2.622527491
2810	0	1.146760781
6502	0	-2.901871544
9123	0	2.727157421
6574	0	2.626148232
144195	0	2.803370472
6515	0	3.122378518
6548	0	1.62965597
6525	0	1.875025891
6525	0	1.765705314
64750	0	1.606184936
8651	0	2.235901949
81848	0	2.155131358
23524	0	-2.409285894
6764	0	-0.874089739
6804	0	1.873882478
6926	0	2.112769847
6934	0	-1.415837936
7980	0	4.675084238
7039	0	2.506078366
7039	0	3.792218178
7042	0	-2.379469891
7072	0	-0.940954894
7076	0	2.378856442
8797	0	2.333647849
